Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,1e-15,1e-11,-40,1.8e-07,2,2.92622e-08
0.7,1e-15,1e-11,-40,3.6e-07,2,3.50644e-08
0.7,1e-15,1e-11,-25,1.8e-07,2,2.8419e-08
0.7,1e-15,1e-11,-25,3.6e-07,2,3.44871e-08
0.7,1e-15,1e-11,0,1.8e-07,2,2.79176e-08
0.7,1e-15,1e-11,0,3.6e-07,2,3.47562e-08
0.7,1e-15,1e-11,25,1.8e-07,2,2.76882e-08
0.7,1e-15,1e-11,25,3.6e-07,2,3.48981e-08
0.7,1e-15,1e-11,75,1.8e-07,2,2.79486e-08
0.7,1e-15,1e-11,75,3.6e-07,2,3.47898e-08
0.7,1e-15,1e-11,100,1.8e-07,2,2.7881e-08
0.7,1e-15,1e-11,100,3.6e-07,2,3.528e-08
0.7,1e-15,1e-11,125,1.8e-07,2,2.84504e-08
0.7,1e-15,1e-11,125,3.6e-07,2,3.60045e-08
0.7,1e-15,5e-11,-40,1.8e-07,2,4.49012e-08
0.7,1e-15,5e-11,-40,3.6e-07,2,5.28905e-08
0.7,1e-15,5e-11,-25,1.8e-07,2,4.32872e-08
0.7,1e-15,5e-11,-25,3.6e-07,2,4.99973e-08
0.7,1e-15,5e-11,0,1.8e-07,2,4.09705e-08
0.7,1e-15,5e-11,0,3.6e-07,2,4.78211e-08
0.7,1e-15,5e-11,25,1.8e-07,2,3.91393e-08
0.7,1e-15,5e-11,25,3.6e-07,2,4.6083e-08
0.7,1e-15,5e-11,75,1.8e-07,2,3.65578e-08
0.7,1e-15,5e-11,75,3.6e-07,2,4.11208e-08
0.7,1e-15,5e-11,100,1.8e-07,2,3.57919e-08
0.7,1e-15,5e-11,100,3.6e-07,2,4.29313e-08
0.7,1e-15,5e-11,125,1.8e-07,2,3.54934e-08
0.7,1e-15,5e-11,125,3.6e-07,2,4.24953e-08
0.7,1e-15,1e-10,-40,1.8e-07,2,4.35409e-08
0.7,1e-15,1e-10,-40,3.6e-07,2,4.96038e-08
0.7,1e-15,1e-10,-25,1.8e-07,2,4.38081e-08
0.7,1e-15,1e-10,-25,3.6e-07,2,5.02522e-08
0.7,1e-15,1e-10,0,1.8e-07,2,4.45283e-08
0.7,1e-15,1e-10,0,3.6e-07,2,5.4383e-08
0.7,1e-15,1e-10,25,1.8e-07,2,4.76822e-08
0.7,1e-15,1e-10,25,3.6e-07,2,5.64046e-08
0.7,1e-15,1e-10,75,1.8e-07,2,4.50148e-08
0.7,1e-15,1e-10,75,3.6e-07,2,5.0141e-08
0.7,1e-15,1e-10,100,1.8e-07,2,4.22078e-08
0.7,1e-15,1e-10,100,3.6e-07,2,5.16727e-08
0.7,1e-15,1e-10,125,1.8e-07,2,4.22915e-08
0.7,1e-15,1e-10,125,3.6e-07,2,5.04111e-08
0.7,1e-15,2e-10,-40,1.8e-07,2,3.5231e-08
0.7,1e-15,2e-10,-40,3.6e-07,2,4.90903e-08
0.7,1e-15,2e-10,-25,1.8e-07,2,3.51008e-08
0.7,1e-15,2e-10,-25,3.6e-07,2,4.61608e-08
0.7,1e-15,2e-10,0,1.8e-07,2,3.76993e-08
0.7,1e-15,2e-10,0,3.6e-07,2,4.57115e-08
0.7,1e-15,2e-10,25,1.8e-07,2,4.1355e-08
0.7,1e-15,2e-10,25,3.6e-07,2,5.2759e-08
0.7,1e-15,2e-10,75,1.8e-07,2,4.45026e-08
0.7,1e-15,2e-10,75,3.6e-07,2,4.58043e-08
0.7,1e-15,2e-10,100,1.8e-07,2,4.18077e-08
0.7,1e-15,2e-10,100,3.6e-07,2,5.21221e-08
0.7,1e-15,2e-10,125,1.8e-07,2,4.60222e-08
0.7,1e-15,2e-10,125,3.6e-07,2,5.21605e-08
0.7,1e-15,4e-10,-40,1.8e-07,2,4.25269e-08
0.7,1e-15,4e-10,-40,3.6e-07,2,5.03576e-08
0.7,1e-15,4e-10,-25,1.8e-07,2,3.72038e-08
0.7,1e-15,4e-10,-25,3.6e-07,2,4.78919e-08
0.7,1e-15,4e-10,0,1.8e-07,2,4.24866e-08
0.7,1e-15,4e-10,0,3.6e-07,2,5.13465e-08
0.7,1e-15,4e-10,25,1.8e-07,2,3.50223e-08
0.7,1e-15,4e-10,25,3.6e-07,2,5.27299e-08
0.7,1e-15,4e-10,75,1.8e-07,2,3.8132e-08
0.7,1e-15,4e-10,75,3.6e-07,2,5.36478e-08
0.7,1e-15,4e-10,100,1.8e-07,2,3.94988e-08
0.7,1e-15,4e-10,100,3.6e-07,2,4.58296e-08
0.7,1e-15,4e-10,125,1.8e-07,2,4.08649e-08
0.7,1e-15,4e-10,125,3.6e-07,2,4.76388e-08
0.7,5.454545454545455e-15,1e-11,-40,1.8e-07,2,8.5957e-08
0.7,5.454545454545455e-15,1e-11,-40,3.6e-07,2,9.29835e-08
0.7,5.454545454545455e-15,1e-11,-25,1.8e-07,2,8.67052e-08
0.7,5.454545454545455e-15,1e-11,-25,3.6e-07,2,9.34565e-08
0.7,5.454545454545455e-15,1e-11,0,1.8e-07,2,8.58278e-08
0.7,5.454545454545455e-15,1e-11,0,3.6e-07,2,9.2562e-08
0.7,5.454545454545455e-15,1e-11,25,1.8e-07,2,8.43244e-08
0.7,5.454545454545455e-15,1e-11,25,3.6e-07,2,9.11571e-08
0.7,5.454545454545455e-15,1e-11,75,1.8e-07,2,8.72662e-08
0.7,5.454545454545455e-15,1e-11,75,3.6e-07,2,9.44683e-08
0.7,5.454545454545455e-15,1e-11,100,1.8e-07,2,8.67215e-08
0.7,5.454545454545455e-15,1e-11,100,3.6e-07,2,9.28787e-08
0.7,5.454545454545455e-15,1e-11,125,1.8e-07,2,8.64855e-08
0.7,5.454545454545455e-15,1e-11,125,3.6e-07,2,9.24089e-08
0.7,5.454545454545455e-15,5e-11,-40,1.8e-07,2,1.012e-07
0.7,5.454545454545455e-15,5e-11,-40,3.6e-07,2,1.09491e-07
0.7,5.454545454545455e-15,5e-11,-25,1.8e-07,2,9.99109e-08
0.7,5.454545454545455e-15,5e-11,-25,3.6e-07,2,1.0819e-07
0.7,5.454545454545455e-15,5e-11,0,1.8e-07,2,9.96124e-08
0.7,5.454545454545455e-15,5e-11,0,3.6e-07,2,1.07782e-07
0.7,5.454545454545455e-15,5e-11,25,1.8e-07,2,9.65907e-08
0.7,5.454545454545455e-15,5e-11,25,3.6e-07,2,1.02154e-07
0.7,5.454545454545455e-15,5e-11,75,1.8e-07,2,9.52915e-08
0.7,5.454545454545455e-15,5e-11,75,3.6e-07,2,1.00122e-07
0.7,5.454545454545455e-15,5e-11,100,1.8e-07,2,9.54749e-08
0.7,5.454545454545455e-15,5e-11,100,3.6e-07,2,1.02303e-07
0.7,5.454545454545455e-15,5e-11,125,1.8e-07,2,9.41398e-08
0.7,5.454545454545455e-15,5e-11,125,3.6e-07,2,1.00124e-07
0.7,5.454545454545455e-15,1e-10,-40,1.8e-07,2,1.21276e-07
0.7,5.454545454545455e-15,1e-10,-40,3.6e-07,2,1.22399e-07
0.7,5.454545454545455e-15,1e-10,-25,1.8e-07,2,1.19378e-07
0.7,5.454545454545455e-15,1e-10,-25,3.6e-07,2,1.29889e-07
0.7,5.454545454545455e-15,1e-10,0,1.8e-07,2,1.08828e-07
0.7,5.454545454545455e-15,1e-10,0,3.6e-07,2,1.22761e-07
0.7,5.454545454545455e-15,1e-10,25,1.8e-07,2,1.12082e-07
0.7,5.454545454545455e-15,1e-10,25,3.6e-07,2,1.18256e-07
0.7,5.454545454545455e-15,1e-10,75,1.8e-07,2,1.03546e-07
0.7,5.454545454545455e-15,1e-10,75,3.6e-07,2,1.10652e-07
0.7,5.454545454545455e-15,1e-10,100,1.8e-07,2,1.06391e-07
0.7,5.454545454545455e-15,1e-10,100,3.6e-07,2,1.08199e-07
0.7,5.454545454545455e-15,1e-10,125,1.8e-07,2,1.03774e-07
0.7,5.454545454545455e-15,1e-10,125,3.6e-07,2,1.08336e-07
